Issue,Storypoint
"Update Builders and Jdk's to allow for > 25 agents
This view JDKs and view builders page needs rewriting.  A mock up can be found here: https://extranet.atlassian.com/display/BAMBOO/Supporting+more+than+25+remote+agents   We are trying to condense this information.    There is a bug on this page which also needs to be fixed, see screenshot: http://skitch.com/brydiemccoy/n8fbq/jdks-atlassian-bamboo    Investigate surrounding/similar pages and identify if any other work needs doing.",5
"${system.bamboo.agent.home} should be defined for all agents, not just remote ones
${system.bamboo.agent.home} needs to be defined for all agents, otherwise it makes running pre and post build scripts break.",2
"Ability to delete build working directory after a suceessful build
Add a checkbox to delete the builds working directory after the build to control the amount of disk space in use    It would be excellent if this https://extranet.atlassian.com/display/IT/2010/01/11/Pre+and+Post+scripts+on+BEAC+agents+to+clean+up+builds was incorporated into the product at a per plan level",5
"Bamboo Rest calls cannot find resources directly after install
I started a brand new Bamboo Home (2.5).  After running the setup wizard in Bamboo and running a few builds, I added a new plan status gadget to jira (4.0) and got the error below (see screen shot also).  The error could also be seen when hitting the straight rest urls:     http://localhost:8085/bamboo/rest/api/latest/build/SVN/DEF?expand=builds[0%3A9].build&max-results=10    I then stopped and started Bamboo and the resources were found happily and everything worked.   Notifications are not affected (runs through similar code) just the REST calls.      ---------------    2010-01-12 13:51:45,070 INFO [10084294@qtp-11642082-31] [AccessLogFilter] admin http://172.20.7.225:8085/bamboo/rest/api/latest/build/SVN/DEF2.json?expand=builds%5B0%3A9%5D.build&max-results=10&nocache=1263264704955 174430kb  2010-01-12 13:51:45,132 ERROR [9682830@qtp-11642082-30] [BambooFreemarkerManager] Error resolving template  java.io.FileNotFoundException: Template freemarker-lib/ui.ftl not found.    freemarker.template.Configuration.getTemplate(Configuration.java:489)    freemarker.core.Environment.getTemplateForInclusion(Environment.java:1464)    freemarker.core.Environment.getTemplateForImporting(Environment.java:1518)    freemarker.core.Environment.importLib(Environment.java:1503)    freemarker.template.Configuration.doAutoImportsAndIncludes(Configuration.java:843)    freemarker.core.Configurable.doAutoImportsAndIncludes(Configurable.java:835)    freemarker.core.Configurable.doAutoImportsAndIncludes(Configurable.java:835)    freemarker.core.Environment.process(Environment.java:188)    freemarker.template.Template.process(Template.java:237)    com.atlassian.bamboo.ww2.BambooFreemarkerManager.renderPageWithNoContext(BambooFreemarkerManager.java:419)    com.atlassian.bamboo.ww2.BambooFreemarkerManager.renderPage(BambooFreemarkerManager.java:260)    com.atlassian.bamboo.ww2.BambooFreemarkerManager.renderPage(BambooFreemarkerManager.java:236)    com.atlassian.bamboo.ww2.BambooFreemarkerManager.render(BambooFreemarkerManager.java:305)    com.atlassian.bamboo.v2.build.trigger.DefaultTriggerReasonRenderer.getShortDescriptionHtml(DefaultTriggerReasonRenderer.java:40)    com.atlassian.bamboo.resultsummary.AbstractBuildResultsSummary.getReasonSummary(AbstractBuildResultsSummary.java:135)    com.atlassian.bamboo.plugins.rest.model.build.AbstractRestBuild.expand(AbstractRestBuild.java:145)    com.atlassian.bamboo.plugins.rest.model.build.RestBuild.expand(RestBuild.java:68)    com.atlassian.bamboo.plugins.rest.model.build.RestBuildExpander.expandInternal(RestBuildExpander.java:14)    com.atlassian.bamboo.plugins.rest.model.build.RestBuildExpander.expandInternal(RestBuildExpander.java:8)    com.atlassian.plugins.rest.common.expand.AbstractRecursiveEntityExpander.expand(AbstractRecursiveEntityExpander.java:9)    com.atlassian.plugins.rest.common.expand.resolver.CollectionEntityExpanderResolver$ListExpander.expand(CollectionEntityExpanderResolver.java:65)    com.atlassian.plugins.rest.common.expand.resolver.CollectionEntityExpanderResolver$ListExpander.expand(CollectionEntityExpanderResolver.java:56)    com.atlassian.plugins.rest.common.expand.EntityCrawler.expandFields(EntityCrawler.java:94)    com.atlassian.plugins.rest.common.expand.EntityCrawler.crawl(EntityCrawler.java:35)    com.atlassian.plugins.rest.common.expand.resolver.ListWrapperEntityExpanderResolver$ListWrapperEntityExpander.expand(ListWrapperEntityExpanderResolver.java:58)    com.atlassian.plugins.rest.common.expand.resolver.ListWrapperEntityExpanderResolver$ListWrapperEntityExpander.expand(ListWrapperEntityExpanderResolver.java:32)    com.atlassian.plugins.rest.common.expand.EntityCrawler.expandFields(EntityCrawler.java:94)    com.atlassian.plugins.rest.common.expand.EntityCrawler.crawl(EntityCrawler.java:35)    com.atlassian.plugins.rest.common.expand.jersey.ExpandResponseFilter.filter(ExpandResponseFilter.java:39)    com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:675)    com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:612)    com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:603)    com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:309)    com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:425)    com.atlassian.plugins.rest.module.RestDelegatingServletFilter$JerseyOsgiServletContainer.doFilter(RestDelegatingServletFilter.java:198)    com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:689)    com.atlassian.plugins.rest.module.RestDelegatingServletFilter.doFilter(RestDelegatingServletFilter.java:112)      ",3
"Editing user and setting Source Repository Alias causes null pointer exception
assigning a repository alias to an external (ldap) user throws NPE    2010-01-14 14:41:36,093 ERROR [4844447@qtp-6659511-0] [FiveOhOh] 500 Exception was thrown.  java.lang.NullPointerException    java.util.AbstractCollection.addAll(AbstractCollection.java:316)    com.atlassian.bamboo.ww2.actions.admin.user.ConfigureUser.execute(ConfigureUser.java:88)    com.atlassian.bamboo.ww2.actions.admin.user.ConfigureUser.doUpdateExternalUser(ConfigureUser.java:153)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)    java.lang.reflect.Method.invoke(Method.java:592)    ",3
"When downsizing a license plans users are directed to delete on the _old_  server 
When a user has to downsize bamboo instance the use is directed to a delete plans screen.   The link points to the bamboo server the last export was made from.  Plans on the _previous_ server are deleted _not_ on the current. The previous server may still be active and eligible to run unlimited plans.     On that screen a neon warning should be displayed and the base url should be questioned (if not the same as the current hostname/ip address)",3
"CVS module field doesn't store changes when cloning an existing build plan
First: create a build plan using CVS as source repository and specify a module to be used.  Second: create another build plan and select ""Clone an existing build plan?"" then select the other plan. Click ""Next >>"" and change the CVS module to be used. Click ""Next >>"" until the new plan can be saved and tries to do it's initial build... you will notice that it uses the CVS module specified in the initial build plan instead of the new one specified.    Workaround: Abort the initial build and change the module again in the new plan's configuration... afterwards the module is set correctly.",2
"Cannot undo Maven POM dependency management
We have 200+ Maven plans configured on one Bamboo instance and some of them are nightly plans with a once-a-day trigger.     On upgrading to 2.5 I set all plans to use the Maven2 dependency management. The problem is that I don't want regular CI plans to trigger nightly plans(as they are resource intensive). When I remove POM dependency management from the nightly builds, it doesn't stop them from being triggered by regular CI plans. I have no choice now but to take the Maven 2 dep management off all plans.    Oh well, it was nice while it lasted.     So - any way to stop the Maven 2 dependencies from crossing from plans of one build strategy (polling) to plans of another (single daily build)?",3
"Fix up UI for builders/jdks admin pages
nan",3
"Return URL should be restricted to current server
nan",3
"Session timeout and refreshing of Latest Status bar causes decorated login screen to appear inside page rather than taking up whole page
Attached is a screenshot of what happens when your session has timed out and you go back then forward - appears after about 5-10 seconds",3
"JIRA Bamboo Plugin creates deadlock in JIRA and Bamboo applications when starting them up in the same Tomcat server
Steps to reproduce:    # Deploy JIRA 4.0.1 WAR into Tomcat 5.5.26  # Deploy Bamboo 2.5.1 WAR into same Tomcat  # Configure everything normally  # Start up JIRA. Default configuration. Create TST project.  # Start up Bamboo. Express Installation.  # In JIRA, configure a Bamboo Server for the Bamboo app  # Shutdown Tomcat  # Restart Tomcat    Bamboo gets this far:    {quote}  2010-02-04 16:06:03,522 INFO [main] [BambooSmackClient] No IM server specified. Bambo Smack client not initiated.  2010-02-04 16:06:03,573 INFO [main] [BambooContainer] Registered Event Listener: completedBuildNotificationEventListener  2010-02-04 16:06:03,591 INFO [main] [BambooContainer] Registered Event Listener: afterXFailedNotificationListener  2010-02-04 16:06:03,597 INFO [main] [BambooContainer] Registered Event Listener: buildCommentedNotificationListener  2010-02-04 16:06:03,601 INFO [main] [BambooContainer] Registered Event Listener: buildHungNotificationListener  2010-02-04 16:06:03,605 INFO [main] [BambooContainer] Registered Event Listener: buildQueueTimeoutNotificationListener  2010-02-04 16:06:03,608 INFO [main] [BambooContainer] Registered Event Listener: legacyNotificationEventListener  2010-02-04 16:06:03,612 INFO [main] [BambooContainer] Registered Event Listener: buildErrorNotificationListener  2010-02-04 16:06:03,616 INFO [main] [BambooContainer] Registered Event Listener: buildMissingCapableAgentNotificationListener  2010-02-04 16:06:03,620 INFO [main] [BambooContainer] Registered Event Listener: serverStartedEventListener  2010-02-04 16:06:03,620 INFO [main] [BambooContainer] Initialising builds...  2010-02-04 16:06:03,630 INFO [main] [BambooContainer] Checking build repository configurations...  2010-02-04 16:06:03,634 INFO [main] [BambooContainer] Bamboo version 2.5.1 initialised OK  2010-02-04 16:06:03,634 INFO [main] [BambooContainer] Using bamboo.home: /Users/mtokar/support/JSP-51856/bamboohome  2010-02-04 16:06:03,636 INFO [main] [AccessLogFilter] AccessLogFilter initialized. Format is: <user> <url> <starting memory free (kb)> +- <difference in free mem (kb)> <query time (ms)>  2010-02-04 16:06:03,642 INFO [main] [[/bamboo]] org.tuckey.web.filters.urlrewrite.utils.Log ERROR: logLevelConf: null  2010-02-04 16:06:03,665 INFO [main] [[/bamboo]] org.tuckey.web.filters.urlrewrite.UrlRewriteFilter INFO: loaded (conf ok)  2010-02-04 16:06:03,748 INFO [main] [[/bamboo]]  [CompressingFilter/1.4] CompressingFilter has initialized  {quote}    JIRA initialisation gets this far:    {quote}    Database configuration OK    ___ Database Configuration _______         Loading entityengine.xml from       : file:/Users/mtokar/support/JSP-51856/apache-tomcat-5.5.26/webapps/jira/WEB-INF/classes/entityengine.xml       Entity model data source name       : defaultDS       Entity model field type name        : hsql       Entity model schema name            : PUBLIC       Database Version                    : HSQL Database Engine - 1.8.0       Database Driver                     : HSQL Database Engine Driver - 1.8.0       Database URL                        : jdbc:hsqldb:/Users/mtokar/support/JSP-51856/atlassian-jira-enterprise-4.0.1/database/jiradb       Database JNDI address               : java:comp/env/jdbc/JiraDS  {quote}    Tomcat logs show that Tomcat has hung after the plugins system has been initialised:    {quote}  4/02/2010 16:06:17 com.atlassian.plugin.osgi.factory.UnrecognizedModuleDescriptorServiceTrackerCustomizer addingService  INFO: Turned plugin module com.atlassian.streams.streams-jira-plugin:streamsActivityProvider into module com.atlassian.streams.streams-jira-plugin:streamsActivityProvider (null)  4/02/2010 16:06:26 com.atlassian.plugin.loaders.ScanningPluginLoader loadAllPlugins  INFO: No plugins found to be deployed  4/02/2010 16:06:26 com.atlassian.plugin.manager.DefaultPluginManager init  INFO: Plugin system started in 0:00:19.183  {quote}    Neither JIRA or Bamboo webapps can be accessed through the browser. Thread dump of Tomcat shows the following stack trace:    {quote}  Thread t@81667: (state = IN_NATIVE)   - java.net.SocketInputStream.socketRead0(java.io.FileDescriptor, byte[], int, int, int) @bci=0 (Interpreted frame)   - java.net.SocketInputStream.read(byte[], int, int) @bci=84, line=129 (Interpreted frame)   - java.io.BufferedInputStream.fill() @bci=175, line=218 (Compiled frame)   - java.io.BufferedInputStream.read() @bci=12, line=235 (Compiled frame)   - org.apache.commons.httpclient.HttpParser.readRawLine(java.io.InputStream) @bci=36, line=77 (Interpreted frame)   - org.apache.commons.httpclient.HttpParser.readLine(java.io.InputStream, java.lang.String) @bci=11, line=105 (Interpreted frame)   - org.apache.commons.httpclient.HttpConnection.readLine(java.lang.String) @bci=19, line=1115 (Interpreted frame)   - org.apache.commons.httpclient.MultiThreadedHttpConnectionManager$HttpConnectionAdapter.readLine(java.lang.String) @bci=12, line=1373 (Interpreted frame)   - org.apache.commons.httpclient.HttpMethodBase.readStatusLine(org.apache.commons.httpclient.HttpState, org.apache.commons.httpclient.HttpConnection) @bci=36, line=1832 (Interpreted frame)   - org.apache.commons.httpclient.HttpMethodBase.readResponse(org.apache.commons.httpclient.HttpState, org.apache.commons.httpclient.HttpConnection) @bci=16, line=1590 (Interpreted frame)   - org.apache.commons.httpclient.HttpMethodBase.execute(org.apache.commons.httpclient.HttpState, org.apache.commons.httpclient.HttpConnection) @bci=68, line=995 (Interpreted frame)   - org.apache.commons.httpclient.HttpMethodDirector.executeWithRetry(org.apache.commons.httpclient.HttpMethod) @bci=138, line=397 (Interpreted frame)   - org.apache.commons.httpclient.HttpMethodDirector.executeMethod(org.apache.commons.httpclient.HttpMethod) @bci=291, line=170 (Interpreted frame)   - org.apache.commons.httpclient.HttpClient.executeMethod(org.apache.commons.httpclient.HostConfiguration, org.apache.commons.httpclient.HttpMethod, org.apache.commons.httpclient.HttpState) @bci=115, line=396 (Interpreted frame)   - org.apache.commons.httpclient.HttpClient.executeMethod(org.apache.commons.httpclient.HttpMethod) @bci=14, line=324 (Interpreted frame)   - com.atlassian.jira.plugin.ext.bamboo.BambooServerManagerImpl.isGadgetAvailable(java.net.URI) @bci=17, line=413 (Interpreted frame)   - com.atlassian.jira.plugin.ext.bamboo.BambooServerManagerImpl.addGadgetsForServer(com.atlassian.jira.plugin.ext.bamboo.service.BambooServer) @bci=63, line=376 (Interpreted frame)   - com.atlassian.jira.plugin.ext.bamboo.BambooServerManagerImpl.start() @bci=36, line=117 (Interpreted frame)   - com.atlassian.sal.jira.lifecycle.JiraLifecycleManager.notifyOnStart() @bci=99, line=83 (Interpreted frame)   - com.atlassian.sal.core.lifecycle.DefaultLifecycleManager.start() @bci=15, line=50 (Interpreted frame)   - com.atlassian.sal.jira.lifecycle.JiraLifecycleManager.onJiraStart(com.atlassian.jira.extension.JiraStartedEvent) @bci=9, line=60 (Interpreted frame)  {quote}    So what we have is a deadlock. Bamboo is somewhat started up but not responding to HTTP requests. JIRA has started its plugins, and in the starting of the JIRA Bamboo Plugin, some code tries to eagerly instantiate something in {{BambooServerManagerImpl.java}}:    {code}      protected boolean isGadgetAvailable(URI uri)      {          HeadMethod method = new HeadMethod(uri.toString());          try          {              httpClient.executeMethod(method);              return method.getStatusCode() < HTTP_STATUS_CODE_ERRORS;          }          catch(IOException e)          {              return false;          }          finally          {             method.releaseConnection();          }      }  {code}    i.e. JIRA is waiting on Bamboo to respond.    This should be fixed so that the attempted HTTP connection at least has a sensible timeout (60seconds?) before it gives up and moves along. That, or instantiate things not on the startup of a plugin but at a different point in the lifecycle.",5
"Name change from Build to Plan security aware broke nant plugin
2010-02-04 13:40:32,839 ERROR [main] [DefaultPluginManager] There was an error loading the descriptor 'View NCover Result' of plugin 'com.atlassian.bamboo.plugin.builder.nant'. Disabling.  java.lang.NoClassDefFoundError: com/atlassian/bamboo/ww2/aware/permissions/BuildReadSecurityAware    java.lang.ClassLoader.defineClass1(Native Method)    java.lang.ClassLoader.defineClass(ClassLoader.java:620)    java.security.SecureClassLoader.defineClass(SecureClassLoader.java:124)    org.apache.catalina.loader.WebappClassLoader.findClassInternal(WebappClassLoader.java:1629)    org.apache.catalina.loader.WebappClassLoader.findClass(WebappClassLoader.java:850)    org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1299)    org.apache.catalina.loader.WebappClassLoader.loadClass(WebappClassLoader.java:1181)    com.opensymphony.util.ClassLoaderUtil.loadClass(ClassLoaderUtil.java:96)    com.opensymphony.xwork.ObjectFactory.getClassInstance(ObjectFactory.java:88)    com.opensymphony.xwork.spring.SpringObjectFactory.getClassInstance(SpringObjectFactory.java:177)    com.opensymphony.xwork.spring.SpringObjectFactory.buildBean(SpringObjectFactory.java:117)    com.opensymphony.xwork.ObjectFactory.buildAction(ObjectFactory.java:101)    com.atlassian.bamboo.plugin.xwork.PluginAwareObjectFactory.buildAction(PluginAwareObjectFactory.java:34)    com.atlassian.bamboo.plugin.xwork.XWorkModuleDescriptor.addAction(XWorkModuleDescriptor.java:282)    com.atlassian.bamboo.plugin.xwork.XWorkModuleDescriptor.getPackages(XWorkModuleDescriptor.java:115)    com.atlassian.bamboo.plugin.xwork.XWorkModuleDescriptor.getPackages(XWorkModuleDescriptor.java:500)    com.atlassian.bamboo.plugin.xwork.XWorkModuleDescriptor.init(XWorkModuleDescriptor.java:479)    com.opensymphony.xwork.config.impl.DefaultConfiguration.reload(DefaultConfiguration.java:159)    com.atlassian.bamboo.plugin.xwork.XWorkModuleDescriptor.enabled(XWorkModuleDescriptor.java:65)    com.atlassian.plugin.manager.DefaultPluginManager.notifyModuleEnabled(DefaultPluginManager.java:1168)    com.atlassian.plugin.manager.DefaultPluginManager.enablePluginModules(DefaultPluginManager.java:988)    com.atlassian.plugin.manager.DefaultPluginManager.addPlugins(DefaultPluginManager.java:558)    com.atlassian.plugin.manager.DefaultPluginManager.init(DefaultPluginManager.java:153)    com.atlassian.bamboo.container.BambooContainer.init(BambooContainer.java:181)    com.atlassian.bamboo.container.BambooContainer.initialise(BambooContainer.java:148)    com.atlassian.bamboo.upgrade.UpgradeLauncher.initialiseBambooContainer(UpgradeLauncher.java:140)    com.atlassian.bamboo.upgrade.UpgradeLauncher.upgradeAndStartBamboo(UpgradeLauncher.java:86)    com.atlassian.bamboo.upgrade.UpgradeLauncher.contextInitialized(UpgradeLauncher.java:32)    org.apache.catalina.core.StandardContext.listenerStart(StandardContext.java:3669)    org.apache.catalina.core.StandardContext.start(StandardContext.java:4104)    org.apache.catalina.core.ContainerBase.addChildInternal(ContainerBase.java:759)    org.apache.catalina.core.ContainerBase.addChild(ContainerBase.java:739)    org.apache.catalina.core.StandardHost.addChild(StandardHost.java:524)    org.apache.catalina.startup.HostConfig.deployDirectory(HostConfig.java:894)    org.apache.catalina.startup.HostConfig.deployDirectories(HostConfig.java:857)    org.apache.catalina.startup.HostConfig.deployApps(HostConfig.java:475)    org.apache.catalina.startup.HostConfig.start(HostConfig.java:1102)    org.apache.catalina.startup.HostConfig.lifecycleEvent(HostConfig.java:311)    org.apache.catalina.util.LifecycleSupport.fireLifecycleEvent(LifecycleSupport.java:119)    org.apache.catalina.core.ContainerBase.start(ContainerBase.java:1020)    org.apache.catalina.core.StandardHost.start(StandardHost.java:718)    org.apache.catalina.core.ContainerBase.start(ContainerBase.java:1012)    org.apache.catalina.core.StandardEngine.start(StandardEngine.java:442)    org.apache.catalina.core.StandardService.start(StandardService.java:450)    org.apache.catalina.core.StandardServer.start(StandardServer.java:683)    org.apache.catalina.startup.Catalina.start(Catalina.java:537)    sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)    sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)    sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)    java.lang.reflect.Method.invoke(Method.java:585)    org.apache.catalina.startup.Bootstrap.start(Bootstrap.java:271)    org.apache.catalina.startup.Bootstrap.main(Bootstrap.java:409)",1
"Differences in the implementation of a BuildResultsSummary cause labels to be duplicated on the 'Related builds by date' tab of the Jira Bamboo Plugin
See BuildResultsSummaryDocument vs BuildResultsSummaryImpl for getLabelNames()",3
"Delete multiple agents simultaneously
The lab manager plugin pollutes the agent space will thousands of agents that do no deregister properly. This ruins performance as the ui is affected by the product of plans * agent capabilities.     Please implement a way to delete inactive agents.",5
